hip,ra,dec,mag,proper
77952,15.919083,-63.43072700000001,3.0,
78072,15.940882,15.661617,3.0,
78159,15.959794,26.87788,3.0,
78265,15.980865,-26.114105,3.0,
78384,16.002036,-38.396706,3.0,
78401,16.005557,-22.62171,3.0,
78493,16.024047,29.851061,3.0,
78527,16.031532000000002,58.565251,3.0,
78639,16.053579,-49.229695,3.0,
78820,16.09062,-19.805453,3.0,
78970,16.121168,-36.755676,3.0,
79509,16.224648000000002,-54.630467,3.0,
79822,16.291791,75.75533,3.0,
79882,16.305358,-4.692511,3.0,
79992,16.329010999999998,46.313366,3.0,
80000,16.330687,-50.15550800000001,3.0,
80170,16.365338,19.15313,3.0,
80331,16.39986,61.514213,3.0,
80582,16.453067,-47.554786,3.0,
80763,16.490128,-26.432002,3.0,
80816,16.503667999999998,21.489613,3.0,
81065,16.557609,-78.897148,3.0,
81126,16.568384,42.437041,3.0,
81266,16.598043,-28.216016,3.0,
81377,16.619316,-10.56709,3.0,
81693,16.688113,31.602726,3.0,
81833,16.714933,38.922254,3.0,
81852,16.718126,-77.51743499999998,3.0,
82080,16.766159,82.037262,3.0,
82273,16.811076999999994,-69.027715,3.0,
82363,16.82976,-59.041378,3.0,
82396,16.83608,-34.293232,3.0,
82514,16.864508999999998,-38.04738,3.0,
82671,16.899924,-42.362025,3.0,
83000,16.961139000000006,9.375033,3.0,
83081,16.977006,-55.990141,3.0,
83207,17.004827,30.926405,3.0,
83895,17.146448,65.714683,3.0,
84012,17.172968,-15.72491,3.0,
84143,17.202551999999994,-43.239189,3.0,
84379,17.250531,24.839204,3.0,
84380,17.250788,36.809162,3.0,
84606,17.294517000000006,37.291498,3.0,
84880,17.347128,-12.846875,3.0,
85112,17.394707999999998,37.145946,3.0,
85258,17.421665,-55.529884,3.0,
85267,17.423239000000002,-56.377727,3.0,
85670,17.507213,52.301387,3.0,
85693,17.512307999999994,26.110645,3.0,
85727,17.518318,-60.683848,3.0,
85755,17.523598,-23.962643,3.0,
85792,17.530695,-49.876145,3.0,
85822,17.536918,86.58646,3.0,
85829,17.537767000000002,55.172958,3.0,
85927,17.560145000000002,-37.103821,3.0,
86032,17.582241,12.560035,3.0,
86228,17.621979999999994,-42.997824,3.0,
86263,17.626445,-15.398557,3.0,
86414,17.657747,46.006332,3.0,
86565,17.690243,-12.875307,3.0,
86670,17.708132,-39.029983,3.0,
86742,17.724543,4.567303,3.0,
86929,17.762221,-64.723871,3.0,
86974,17.774319000000006,27.720676,3.0,
87072,17.792673999999995,-27.830788,3.0,
87073,17.793078,-40.126997,3.0,
87585,17.892134,56.872643,3.0,
87808,17.93755,37.250539,3.0,
87833,17.943437,51.488895,3.0,
87933,17.962744,29.24788,3.0,
88635,18.096803,-30.424091,3.0,
88714,18.11052,-50.09147700000001,3.0,
88794,18.125708,28.762488,3.0,
88866,18.143,-63.668553,3.0,
89341,18.229392,-21.058834,3.0,
89642,18.293793,-36.761686,3.0,
89931,18.3499,-29.828103,3.0,
89937,18.350736,72.732843,3.0,
89962,18.355167,-2.898825,3.0,
90098,18.387117,-61.493901,3.0,
90185,18.402868,-34.384615999999994,3.0,
90422,18.449561,-45.968459,3.0,
90496,18.466179,-25.4217,3.0,
90568,18.480505,-49.070588,3.0,
90595,18.486626,-14.565813,3.0,
90887,18.539257,-39.704001,3.0,
91117,18.586785,-8.244073,3.0,
91262,18.61564,38.783692,3.0,
91792,18.71726,-71.428113,3.0,
91875,18.729706,-38.323441,3.0,
91971,18.746209,37.60511500000001,3.0,
92041,18.76094,-26.990778,3.0,
92175,18.786242,-4.7478669999999985,3.0,
92202,18.791375,-5.705147,3.0,
92420,18.834665,33.362667,3.0,
92609,18.870288,-62.18759300000001,3.0,
92791,18.908412,36.898613,3.0,
92814,18.911976,-15.603036,3.0,
92855,18.92109,-26.296721999999995,3.0,
92946,18.936995,4.203595,3.0,
92953,18.938044,-42.710676,3.0,
92989,18.944582,-37.343241,3.0,
93015,18.949177,-67.23349499999999,3.0,
93085,18.962167,-21.106654,3.0,
93174,18.978721,-37.107357,3.0,
93194,18.982395,32.689557,3.0,
93244,18.993711,15.068298,3.0,
93506,19.043532,-29.880105,3.0,
93542,19.051907,-42.095105,3.0,
93683,19.07805,-21.741496,3.0,
93747,19.090169,13.863478,3.0,
93805,19.10415,-4.882554,3.0,
93825,19.106971,-37.063437,3.0,
93864,19.11567,-27.670423,3.0,
94005,19.139156,-40.496703,3.0,
94114,19.157869,-37.904474,3.0,
94160,19.167154,-39.34079600000001,3.0,
94376,19.209225,67.661541,3.0,
94648,19.259229,73.355468,3.0,
94779,19.28504,53.368459,3.0,
94820,19.293911,-18.952908,3.0,
95168,19.361211,-17.847197,3.0,
95294,19.386976,-44.799778,3.0,
95347,19.398103,-40.61594,3.0,
95501,19.424972,3.114775,3.0,
95771,19.478427,24.664905,3.0,
95853,19.495098,51.729779,3.0,
95947,19.512023000000006,27.959681,3.0,
96406,19.600459,-24.719081,3.0,
96757,19.668275,18.01389,3.0,
96837,19.68415,17.476041,3.0,
97165,19.749574,45.13081,3.0,
97278,19.770994,10.613261,3.0,
97365,19.789795,18.534286,3.0,
97433,19.80285,70.26793,3.0,
97649,19.846388,8.868322000000003,3.0,
97804,19.874547,1.005661,3.0,
98032,19.921026,-41.868288,3.0,
98036,19.921887,6.406763,3.0,
98110,19.938438,35.083424,3.0,
98337,19.979285,19.492148,3.0,
98412,19.995605,-35.276305,3.0,
98495,20.009845,-72.910504,3.0,
98543,20.018346,27.753573,3.0,
98688,20.044299,-27.709845,3.0,
98920,20.08597,19.991071,3.0,
99240,20.145157,-66.182068,3.0,
99473,20.188413,-0.8214610000000001,3.0,
100064,20.300904,-12.544852,3.0,
100345,20.350187,-14.781367,3.0,
100453,20.370473,40.256679,3.0,
100751,20.427459,-56.73509,3.0,
101421,20.553547,11.303263,3.0,
